#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 324897:7317 | 10/19/18 06:41:04 | 136  | 136  | 0.051237746    | 0.048253833   |
| 324970:7320 | 10/19/18 15:42:39 | 2183 | 2183 | 0.497971963    | 0.479465581   |
| 324980:7321 | 10/20/18 08:16:24 | 2241 | 2241 | 0.530604319    | 0.508816354   |
| 324997:7324 | 10/21/18 04:34:58 | 115  | 115  | 0.042527064    | 0.038586760   |
| 324998:7324 | 10/21/18 05:23:14 | 353  | 353  | 0.118638872    | 0.111767333   |
| 324999:7324 | 10/21/18 07:47:04 | 14   | 14   | 0.004195108    | 0.003883479   |
| 325000:7324 | 10/21/18 08:03:55 | 346  | 346  | 0.091734686    | 0.088377123   |
| 325001:7324 | 10/21/18 10:29:40 | 592  | 592  | 0.123406774    | 0.119138042   |
| 325022:7328 | 10/21/18 21:10:37 | 1543 | 1543 | 0.445749876    | 0.431370681   |
| 325057:7331 | 10/22/18 14:07:34 | 342  | 342  | 0.126567801    | 0.120048335   |
| 325097:7333 | 10/22/18 21:19:15 | 54   | 54   | 0.019943589    | 0.017770090   |
| 325098:7333 | 10/22/18 21:46:04 | 8    | 8    | 0.003173569    | 0.002038523   |
| 325099:7333 | 10/22/18 21:50:54 | 380  | 380  | 0.142996965    | 0.136721953   |
| 325100:7333 | 10/23/18 00:24:31 | 246  | 246  | 0.076368327    | 0.072551221   |
| 325101:7333 | 10/23/18 02:07:46 | 474  | 474  | 0.120513656    | 0.116186076   |
| 325110:7333 | 10/23/18 05:48:34 | 14   | 14   | 0.002969567    | 0.002841384   |
| 325117:7333 | 10/23/18 07:39:08 | 531  | 531  | 0.087981464    | 0.085216684   |
| 325159:7334 | 10/23/18 14:38:00 | 207  | 207  | 0.064996924    | 0.061121206   |
| 325168:7334 | 10/23/18 16:09:33 | 18   | 18   | 0.005526891    | 0.004288854   |
| 325169:7334 | 10/23/18 16:19:28 | 23   | 23   | 0.006960291    | 0.005577620   |
| 325170:7334 | 10/23/18 16:31:17 | 1203 | 1203 | 0.272475703    | 0.263142487   |
| 325172:7334 | 10/24/18 00:23:24 | 465  | 465  | 0.068674984    | 0.066588548   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+--------+--------+-------------------+------------------+
| nfill | nrun | nls    | ncms   | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+--------+--------+-------------------+------------------+
| 100   | 251  | 117425 | 117425 | 31.008291653      | 29.819697927     |
+-------+------+--------+--------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
